t	V	n	m	h
1.94	-69.0794	0.29862	0.0332166	0.613552
1.95	-69.088	0.298502	0.0331732	0.613687
1.96	-69.0966	0.298385	0.0331303	0.613822
1.97	-69.1051	0.298267	0.0330877	0.613957
1.98	-69.1135	0.29815	0.0330457	0.614093
1.99	-69.1219	0.298033	0.0330041	0.614228
2	-69.1301	0.297915	0.0329629	0.614364
2.01	-69.1383	0.297798	0.0329221	0.6145
2.02	-69.1464	0.29768	0.0328817	0.614636
2.03	-69.1545	0.297563	0.0328418	0.614772
2.04	-69.1624	0.297446	0.0328023	0.614909
2.05	-69.1703	0.297329	0.0327631	0.615045
2.06	-69.1781	0.297211	0.0327244	0.615182
2.07	-69.1858	0.297094	0.0326861	0.615318
2.08	-69.1935	0.296977	0.0326482	0.615455
2.09	-69.201	0.29686	0.0326107	0.615592
2.1	-69.2085	0.296743	0.0325736	0.615729
2.11	-69.216	0.296626	0.0325368	0.615866
2.12	-69.2233	0.296509	0.0325005	0.616004
2.13	-69.2306	0.296392	0.0324645	0.616141
2.14	-69.2378	0.296275	0.0324289	0.616278
2.15	-69.245	0.296158	0.0323937	0.616416
2.16	-69.2521	0.296041	0.0323589	0.616553
2.17	-69.2591	0.295924	0.0323244	0.616691
2.18	-69.266	0.295807	0.0322903	0.616829
2.19	-69.2729	0.295691	0.0322565	0.616967
2.2	-69.2797	0.295574	0.0322231	0.617105
2.21	-69.2864	0.295458	0.03219	0.617243
2.22	-69.2931	0.295341	0.0321573	0.617381
2.23	-69.2997	0.295225	0.032125	0.617519
2.24	-69.3062	0.295108	0.032093	0.617657
2.25	-69.3126	0.294992	0.0320613	0.617795
2.26	-69.319	0.294876	0.03203	0.617934
2.27	-69.3254	0.29476	0.031999	0.618072
2.28	-69.3316	0.294643	0.0319683	0.61821
2.29	-69.3378	0.294527	0.031938	0.618349
2.3	-69.344	0.294411	0.031908	0.618488
2.31	-69.35	0.294295	0.0318783	0.618626
2.32	-69.3561	0.29418	0.0318489	0.618765
2.33	-69.362	0.294064	0.0318199	0.618904
2.34	-69.3679	0.293948	0.0317911	0.619042
2.35	-69.3737	0.293833	0.0317627	0.619181
2.36	-69.3795	0.293717	0.0317346	0.61932
2.37	-69.3852	0.293602	0.0317068	0.619459
2.38	-69.3908	0.293486	0.0316793	0.619598
2.39	-69.3964	0.293371	0.0316521	0.619737
2.4	-69.4019	0.293256	0.0316252	0.619876
2.41	-69.4073	0.293141	0.0315986	0.620015
2.42	-69.4128	0.293026	0.0315722	0.620154
2.43	-69.4181	0.292911	0.0315462	0.620293
2.44	-69.4234	0.292796	0.0315205	0.620432
2.45	-69.4286	0.292681	0.031495	0.620571
2.46	-69.4338	0.292567	0.0314698	0.620711
2.47	-69.4389	0.292452	0.031445	0.62085
2.48	-69.4439	0.292338	0.0314203	0.620989
2.49	-69.4489	0.292223	0.031396	0.621128
2.5	-69.4539	0.292109	0.0313719	0.621267
2.51	-69.4587	0.291995	0.0313481	0.621407
2.52	-69.4636	0.291881	0.0313246	0.621546
2.53	-69.4684	0.291767	0.0313014	0.621685
2.54	-69.4731	0.291653	0.0312784	0.621824
2.55	-69.4777	0.291539	0.0312556	0.621964
2.56	-69.4824	0.291426	0.0312331	0.622103
2.57	-69.4869	0.291312	0.0312109	0.622242
2.58	-69.4914	0.291199	0.031189	0.622381
2.59	-69.4959	0.291085	0.0311672	0.622521
2.6	-69.5003	0.290972	0.0311458	0.62266
2.61	-69.5046	0.290859	0.0311246	0.622799
2.62	-69.5089	0.290746	0.0311036	0.622938
2.63	-69.5132	0.290633	0.0310829	0.623077
2.64	-69.5174	0.29052	0.0310624	0.623217
2.65	-69.5215	0.290408	0.0310421	0.623356
2.66	-69.5256	0.290295	0.0310221	0.623495
2.67	-69.5297	0.290183	0.0310024	0.623634
2.68	-69.5337	0.290071	0.0309828	0.623773
2.69	-69.5376	0.289958	0.0309635	0.623912
2.7	-69.5415	0.289846	0.0309444	0.624051
2.71	-69.5454	0.289734	0.0309256	0.62419
2.72	-69.5492	0.289623	0.030907	0.624329
2.73	-69.5529	0.289511	0.0308886	0.624468
2.74	-69.5566	0.289399	0.0308704	0.624607
